Deciduous,Hemlock,Mixed,Red pine plantation,Wetlands
4.152578305,NaN,NaN,NaN,NaN
6.104640653,NaN,NaN,NaN,NaN
6.390283571,NaN,NaN,NaN,NaN
4.829737405,NaN,NaN,NaN,NaN
5.524595815,NaN,NaN,NaN,NaN
5.229065493,NaN,NaN,NaN,NaN
2.532824152,NaN,NaN,NaN,NaN
4.36798938,NaN,NaN,NaN,NaN
3.608159206,NaN,NaN,NaN,NaN
5.939423622,NaN,NaN,NaN,NaN
4.668616793,NaN,NaN,NaN,NaN
4.328294121,NaN,NaN,NaN,NaN
5.581697385,NaN,NaN,NaN,NaN
3.962372727,NaN,NaN,NaN,NaN
2.689354747,NaN,NaN,NaN,NaN
2.38002462,NaN,NaN,NaN,NaN
1.587622153,NaN,NaN,NaN,NaN
8.874299062,NaN,NaN,NaN,NaN
4.843743267,NaN,NaN,NaN,NaN
4.048615762,NaN,NaN,NaN,NaN
4.636406356,NaN,NaN,NaN,NaN
5.36408545,NaN,NaN,NaN,NaN
4.373212129,NaN,NaN,NaN,NaN
5.01670878,NaN,NaN,NaN,NaN
3.752779397,NaN,NaN,NaN,NaN
4.701606632,NaN,NaN,NaN,NaN
4.273283779,NaN,NaN,NaN,NaN
3.520225659,NaN,NaN,NaN,NaN
2.734174618,NaN,NaN,NaN,NaN
4.361277761,NaN,NaN,NaN,NaN
2.426182233,NaN,NaN,NaN,NaN
3.183323996,NaN,NaN,NaN,NaN
2.863225785,NaN,NaN,NaN,NaN
4.494357336,NaN,NaN,NaN,NaN
3.730556587,NaN,NaN,NaN,NaN
4.020582591,NaN,NaN,NaN,NaN
5.850336717,NaN,NaN,NaN,NaN
6.09321841,NaN,NaN,NaN,NaN
5.538124998,NaN,NaN,NaN,NaN
4.27997669,NaN,NaN,NaN,NaN
5.413083414,NaN,NaN,NaN,NaN
4.328993417,NaN,NaN,NaN,NaN
3.969656799,NaN,NaN,NaN,NaN
4.289052633,NaN,NaN,NaN,NaN
4.775268191,NaN,NaN,NaN,NaN
4.741075446,NaN,NaN,NaN,NaN
6.958765865,NaN,NaN,NaN,NaN
4.99304277,NaN,NaN,NaN,NaN
2.35689416,NaN,NaN,NaN,NaN
2.932141433,NaN,NaN,NaN,NaN
2.84336076,NaN,NaN,NaN,NaN
3.248853563,NaN,NaN,NaN,NaN
2.597126078,NaN,NaN,NaN,NaN
2.499739851,NaN,NaN,NaN,NaN
2.86596484,NaN,NaN,NaN,NaN
3.014920538,NaN,NaN,NaN,NaN
3.22769781,NaN,NaN,NaN,NaN
2.81465399,NaN,NaN,NaN,NaN
2.958921531,NaN,NaN,NaN,NaN
2.813523661,NaN,NaN,NaN,NaN
5.384643356,NaN,NaN,NaN,NaN
