Year,Study,Rs 0.5°C-MAT,Rs annual
2004,S23,4.25,868.8011045
2004,S23,3.66,868.8011045
2004,S23,2.85,868.8011045
2004,S23,2.42,868.8011045
2004,S23,5.48,868.8011045
2004,S23,3.8,868.8011045
2004,S23,2.65,868.8011045
2004,S23,3.3,868.8011045
2004,S23,2.69,868.8011045
2004,S23,2.73,868.8011045
2004,S23,2.91,868.8011045
2004,S23,3.08,868.8011045
2004,S23,3.29,868.8011045
2004,S23,1.45,868.8011045
2004,S23,2.57,868.8011045
2004,S23,2.71,868.8011045
2004,S23,0.85,868.8011045
2004,S23,0.34,868.8011045
2004,S23,2.87,868.8011045
2004,S23,0.26,868.8011045
2004,S23,2.03,868.8011045
2004,S23,0.82,868.8011045
2004,S23,0.68,868.8011045
2004,S23,0.95,868.8011045
2004,S23,0.29,868.8011045
2004,S23,0.38,868.8011045
2004,S23,0.96,868.8011045
2004,S23,0.92,868.8011045
2005,S23,0.75,950.5136264
2005,S23,1.38,950.5136264
2005,S23,0.47,950.5136264
2005,S23,2.58,950.5136264
2005,S23,0.76,950.5136264
2005,S23,1.11,950.5136264
2005,S23,0.94,950.5136264
2005,S23,1.1,950.5136264
2005,S23,1.49,950.5136264
2005,S23,0.93,950.5136264
2005,S23,0.85,950.5136264
2005,S23,1.11,950.5136264
2005,S23,0.91,950.5136264
2005,S23,1.72,950.5136264
2005,S23,0.19,950.5136264
2005,S23,0.7,950.5136264
2005,S23,1.62,950.5136264
2005,S23,2.16,950.5136264
2005,S23,1.7,950.5136264
2005,S23,1.87,950.5136264
2005,S23,1.47,950.5136264
2005,S23,1.84,950.5136264
2005,S23,1.24,950.5136264
2005,S23,4.89,950.5136264
2005,S23,5.33,950.5136264
2005,S23,3.91,950.5136264
2005,S23,0.25,950.5136264
2005,S23,0.34,950.5136264
2005,S23,2.49,950.5136264
2005,S23,2.41,950.5136264
2005,S23,2.62,950.5136264
2005,S23,2.49,950.5136264
2005,S23,2.42,950.5136264
2005,S23,2.29,950.5136264
2005,S23,1.59,950.5136264
2005,S23,0.26,950.5136264
2005,S23,0.04,950.5136264
2005,S23,0.06,950.5136264
2005,S23,0.82,950.5136264
2005,S23,0.07,950.5136264
2006,S23,0.26,803.6379998
2006,S23,0.21,803.6379998
2006,S23,0.68,803.6379998
2006,S23,0.32,803.6379998
2006,S23,0.57,803.6379998
2006,S23,0.4,803.6379998
2006,S23,0.63,803.6379998
2006,S23,0.22,803.6379998
2006,S23,1.99,803.6379998
2006,S23,1,803.6379998
2006,S23,1.32,803.6379998
2006,S23,0.87,803.6379998
2006,S23,0.55,803.6379998
2006,S23,0.35,803.6379998
2006,S23,1.13,803.6379998
2006,S23,0.99,803.6379998
2006,S23,0.83,803.6379998
2006,S23,1.34,803.6379998
2006,S23,1.59,803.6379998
2006,S23,1.21,803.6379998
2006,S23,0.41,803.6379998
2006,S23,0.77,803.6379998
2006,S23,1.07,803.6379998
2006,S23,0.85,803.6379998
2006,S23,0.64,803.6379998
2006,S23,3.78,803.6379998
2006,S23,1.2,803.6379998
2006,S23,4.34,803.6379998
2006,S23,2.92,803.6379998
2006,S23,5.17,803.6379998
2006,S23,4.93,803.6379998
2006,S23,5.16,803.6379998
2006,S23,2.88,803.6379998
2006,S23,3.79,803.6379998
2006,S23,5.29,803.6379998
2006,S23,4.34,803.6379998
2006,S23,4.1,803.6379998
2006,S23,3.83,803.6379998
2006,S23,4.23,803.6379998
2006,S23,3.03,803.6379998
2006,S23,3.37,803.6379998
2006,S23,2.89,803.6379998
2006,S23,1.9,803.6379998
2006,S23,0.86,803.6379998
2006,S23,3.45,803.6379998
2006,S23,1.95,803.6379998
2006,S23,2.01,803.6379998
2006,S23,0.89,803.6379998
2006,S23,1.04,803.6379998
2006,S23,0.02,803.6379998
2006,S23,0.02,803.6379998
2006,S23,0.45,803.6379998
2004,S23,0.38,868.8011045
2004,S23,1.43,868.8011045
2004,S23,0.59,868.8011045
2004,S23,0.63,868.8011045
2004,S23,1.96,868.8011045
2004,S23,2.16,868.8011045
2004,S23,4.47,868.8011045
2004,S23,4.01,868.8011045
2004,S23,3.71,868.8011045
2004,S23,3.87,868.8011045
2004,S23,3.77,868.8011045
2004,S23,3.02,868.8011045
2004,S23,3.87,868.8011045
2004,S23,2.9,868.8011045
2004,S23,2.03,868.8011045
2004,S23,2.94,868.8011045
2004,S23,3.13,868.8011045
2004,S23,3.15,868.8011045
2004,S23,4.03,868.8011045
2004,S23,3.95,868.8011045
2004,S23,2.9,868.8011045
2004,S23,2.79,868.8011045
2004,S23,2.72,868.8011045
2004,S23,2.4,868.8011045
2004,S23,2.84,868.8011045
2004,S23,2.1,868.8011045
2004,S23,3.24,868.8011045
2004,S23,2.35,868.8011045
2004,S23,2.09,868.8011045
2004,S23,1.87,868.8011045
2004,S23,2.38,868.8011045
2004,S23,1.14,868.8011045
2004,S23,2.17,868.8011045
2004,S23,1.99,868.8011045
2004,S23,1.95,868.8011045
2004,S23,2.29,868.8011045
2004,S23,1.62,868.8011045
2004,S23,1.4,868.8011045
2004,S23,1.49,868.8011045
2004,S23,2.11,868.8011045
2004,S23,0.36,868.8011045
2004,S23,1.62,868.8011045
2004,S23,2.03,868.8011045
2004,S23,0.57,868.8011045
2004,S23,0.77,868.8011045
2004,S23,0.97,868.8011045
2004,S23,0.81,868.8011045
2004,S23,1.39,868.8011045
2004,S23,1.09,868.8011045
2004,S23,0.98,868.8011045
2004,S23,0.68,868.8011045
2004,S23,0.65,868.8011045
2004,S23,0.89,868.8011045
2005,S23,0.35,950.5136264
2005,S23,0.21,950.5136264
2005,S23,1.15,950.5136264
2005,S23,0.97,950.5136264
2005,S23,1.38,950.5136264
2005,S23,0.67,950.5136264
2005,S23,0.72,950.5136264
2005,S23,1.71,950.5136264
2005,S23,0.8,950.5136264
2005,S23,1.33,950.5136264
2005,S23,1.06,950.5136264
2005,S23,1.04,950.5136264
2005,S23,1.77,950.5136264
2005,S23,1.41,950.5136264
2005,S23,2.69,950.5136264
2005,S23,0.67,950.5136264
2005,S23,1.87,950.5136264
2005,S23,1.73,950.5136264
2005,S23,1.28,950.5136264
2005,S23,2.1,950.5136264
2005,S23,2.25,950.5136264
2005,S23,1.88,950.5136264
2005,S23,2.25,950.5136264
2005,S23,2.79,950.5136264
2005,S23,1.75,950.5136264
2005,S23,1.74,950.5136264
2005,S23,2.44,950.5136264
2005,S23,1.31,950.5136264
2005,S23,3.91,950.5136264
2005,S23,4.87,950.5136264
2005,S23,0.42,950.5136264
2005,S23,0.4,950.5136264
2005,S23,2.35,950.5136264
2005,S23,1.94,950.5136264
2005,S23,3.43,950.5136264
2005,S23,2.16,950.5136264
2005,S23,0.19,950.5136264
2005,S23,0.08,950.5136264
2005,S23,0.12,950.5136264
2005,S23,0.06,950.5136264
2006,S23,0.34,803.6379998
2006,S23,0.67,803.6379998
2006,S23,0.23,803.6379998
2006,S23,0.72,803.6379998
2006,S23,0.6,803.6379998
2006,S23,0.5,803.6379998
2006,S23,0.24,803.6379998
2006,S23,0.48,803.6379998
2006,S23,0.54,803.6379998
2006,S23,0.27,803.6379998
2006,S23,0.24,803.6379998
2006,S23,1.02,803.6379998
2006,S23,0.36,803.6379998
2006,S23,1.01,803.6379998
2006,S23,1.07,803.6379998
2006,S23,0.88,803.6379998
2006,S23,0.25,803.6379998
2006,S23,2.17,803.6379998
2006,S23,1,803.6379998
2006,S23,1.57,803.6379998
2006,S23,0.58,803.6379998
2006,S23,1.26,803.6379998
2006,S23,1.43,803.6379998
2006,S23,1.14,803.6379998
2006,S23,1.75,803.6379998
2006,S23,1.01,803.6379998
2006,S23,1.32,803.6379998
2006,S23,2.05,803.6379998
2006,S23,1.03,803.6379998
2006,S23,2.22,803.6379998
2006,S23,1.01,803.6379998
2006,S23,1.45,803.6379998
2006,S23,6.13,803.6379998
2006,S23,1.89,803.6379998
2006,S23,5.51,803.6379998
2006,S23,6.89,803.6379998
2006,S23,7.46,803.6379998
2006,S23,2.93,803.6379998
2006,S23,6.75,803.6379998
2006,S23,2.94,803.6379998
2006,S23,5,803.6379998
2006,S23,3.45,803.6379998
2006,S23,6.07,803.6379998
2006,S23,5.54,803.6379998
2006,S23,5.46,803.6379998
2006,S23,2.96,803.6379998
2006,S23,5.07,803.6379998
2006,S23,4.25,803.6379998
2006,S23,3.34,803.6379998
2006,S23,3.89,803.6379998
2006,S23,1.06,803.6379998
2006,S23,2.87,803.6379998
2006,S23,5.01,803.6379998
2006,S23,2.6,803.6379998
2006,S23,1.3,803.6379998
2006,S23,0.7,803.6379998
2006,S23,0.03,803.6379998
2006,S23,0.02,803.6379998
2006,S23,2.25,803.6379998
2006,S23,2.77,803.6379998
2006,S23,0.01,803.6379998
2006,S23,3.34,803.6379998
2006,S23,1.23,803.6379998
2006,S23,0.99,803.6379998
2006,S23,1.16,803.6379998
2004,S23,0.88,868.8011045
2004,S23,0.64,868.8011045
2004,S23,1.8,868.8011045
2004,S23,0.34,868.8011045
2004,S23,0.63,868.8011045
2004,S23,1.64,868.8011045
2004,S23,2.19,868.8011045
2004,S23,1.97,868.8011045
2004,S23,2.07,868.8011045
2004,S23,2.01,868.8011045
2004,S23,1.82,868.8011045
2004,S23,1.64,868.8011045
2004,S23,2.11,868.8011045
2004,S23,1.04,868.8011045
2004,S23,1.44,868.8011045
2004,S23,1.61,868.8011045
2004,S23,1.63,868.8011045
2004,S23,1.69,868.8011045
2004,S23,1.56,868.8011045
2004,S23,1.81,868.8011045
2004,S23,1.71,868.8011045
2004,S23,1.54,868.8011045
2004,S23,1.13,868.8011045
2004,S23,0.98,868.8011045
2004,S23,1.38,868.8011045
2004,S23,1.22,868.8011045
2004,S23,1.32,868.8011045
2004,S23,1.43,868.8011045
2004,S23,0.87,868.8011045
2004,S23,0.87,868.8011045
2004,S23,0.61,868.8011045
2004,S23,1.36,868.8011045
2004,S23,0.83,868.8011045
2004,S23,0.42,868.8011045
2004,S23,0.36,868.8011045
2004,S23,0.31,868.8011045
2004,S23,0.58,868.8011045
2004,S23,1.04,868.8011045
2004,S23,0.51,868.8011045
2004,S23,0.66,868.8011045
2004,S23,0.69,868.8011045
2004,S23,0.58,868.8011045
2004,S23,0.92,868.8011045
2004,S23,0.45,868.8011045
2004,S23,0.44,868.8011045
2005,S23,2.07,950.5136264
2005,S23,2.45,950.5136264
2005,S23,0.87,950.5136264
2005,S23,1.06,950.5136264
2005,S23,1.35,950.5136264
2005,S23,0.95,950.5136264
2005,S23,1.04,950.5136264
2005,S23,0.74,950.5136264
2005,S23,0.78,950.5136264
2005,S23,0.89,950.5136264
2005,S23,0.85,950.5136264
2005,S23,2.24,950.5136264
2005,S23,1.17,950.5136264
2005,S23,1.28,950.5136264
2005,S23,1.57,950.5136264
2005,S23,1.62,950.5136264
2005,S23,1.41,950.5136264
2005,S23,0.6,950.5136264
2005,S23,0.95,950.5136264
2005,S23,1.21,950.5136264
2005,S23,1.52,950.5136264
2005,S23,1.52,950.5136264
2005,S23,1.66,950.5136264
2005,S23,1.98,950.5136264
2005,S23,2.4,950.5136264
2005,S23,2.14,950.5136264
2005,S23,1.76,950.5136264
2005,S23,2.39,950.5136264
2005,S23,0.2,950.5136264
2005,S23,0.34,950.5136264
2005,S23,0.26,950.5136264
2005,S23,0.71,950.5136264
2005,S23,1.29,950.5136264
2005,S23,0.89,950.5136264
2005,S23,0.89,950.5136264
2005,S23,1.17,950.5136264
2005,S23,0.12,950.5136264
2005,S23,0.47,950.5136264
2005,S23,1.47,950.5136264
2005,S23,0.99,950.5136264
2005,S23,0.74,950.5136264
2005,S23,0.02,950.5136264
2005,S23,0.02,950.5136264
2005,S23,0.08,950.5136264
2005,S23,0.06,950.5136264
2005,S23,0.07,950.5136264
2005,S23,0.99,950.5136264
2005,S23,0.04,950.5136264
2005,S23,0.11,950.5136264
2006,S23,0.7,803.6379998
2006,S23,0.62,803.6379998
2006,S23,0.22,803.6379998
2006,S23,0.45,803.6379998
2006,S23,0.99,803.6379998
2006,S23,0.44,803.6379998
2006,S23,1.33,803.6379998
2006,S23,0.6,803.6379998
2006,S23,0.78,803.6379998
2006,S23,0.14,803.6379998
2006,S23,0.47,803.6379998
2006,S23,1.43,803.6379998
2006,S23,0.97,803.6379998
2006,S23,0.86,803.6379998
2006,S23,1.58,803.6379998
2006,S23,0.33,803.6379998
2006,S23,0.65,803.6379998
2006,S23,1.63,803.6379998
2006,S23,0.82,803.6379998
2006,S23,1.55,803.6379998
2006,S23,0.87,803.6379998
2006,S23,1.05,803.6379998
2006,S23,1.27,803.6379998
2006,S23,1.19,803.6379998
2006,S23,1.3,803.6379998
2006,S23,1.96,803.6379998
2006,S23,1.99,803.6379998
2006,S23,1.65,803.6379998
2006,S23,0.69,803.6379998
2006,S23,1.95,803.6379998
2006,S23,2.91,803.6379998
2006,S23,3.35,803.6379998
2006,S23,1.61,803.6379998
2006,S23,2.38,803.6379998
2006,S23,2.31,803.6379998
2006,S23,2.44,803.6379998
2006,S23,2.43,803.6379998
2006,S23,2.24,803.6379998
2006,S23,2.21,803.6379998
2006,S23,1.46,803.6379998
2006,S23,2.45,803.6379998
2006,S23,2.64,803.6379998
2006,S23,2.44,803.6379998
2006,S23,2.66,803.6379998
2006,S23,0.54,803.6379998
2006,S23,0.97,803.6379998
2006,S23,1.18,803.6379998
2006,S23,1.91,803.6379998
2006,S23,2.17,803.6379998
2006,S23,0.03,803.6379998
2006,S23,0.63,803.6379998
2006,S23,6.45,803.6379998
2006,S23,0.03,803.6379998
2006,S23,1.36,803.6379998
2006,S23,0.88,803.6379998
2006,S23,0.84,803.6379998
2004,S23,0.8,868.8011045
2004,S23,0.61,868.8011045
2004,S23,1.26,868.8011045
2004,S23,0.41,868.8011045
2004,S23,1.44,868.8011045
2004,S23,1.33,868.8011045
2004,S23,1.32,868.8011045
2004,S23,1.11,868.8011045
2004,S23,3.07,868.8011045
2004,S23,2.99,868.8011045
2004,S23,2.16,868.8011045
2004,S23,1.16,868.8011045
2004,S23,1.43,868.8011045
2004,S23,3.02,868.8011045
2004,S23,2.87,868.8011045
2004,S23,2.34,868.8011045
2004,S23,3.31,868.8011045
2004,S23,2.61,868.8011045
2004,S23,1.93,868.8011045
2004,S23,2.1,868.8011045
2004,S23,2.31,868.8011045
2004,S23,2.03,868.8011045
2004,S23,2.38,868.8011045
2004,S23,0.66,868.8011045
2004,S23,2.06,868.8011045
2004,S23,1.68,868.8011045
2004,S23,1.47,868.8011045
2004,S23,1.71,868.8011045
2004,S23,1.42,868.8011045
2004,S23,2.14,868.8011045
2004,S23,1.25,868.8011045
2004,S23,2.9,868.8011045
2004,S23,1.51,868.8011045
2004,S23,1.88,868.8011045
2004,S23,1.52,868.8011045
2004,S23,2.1,868.8011045
2004,S23,2.11,868.8011045
2004,S23,0.94,868.8011045
2004,S23,1.72,868.8011045
2004,S23,2.08,868.8011045
2004,S23,2.21,868.8011045
2004,S23,1.74,868.8011045
2004,S23,0.43,868.8011045
2004,S23,0.78,868.8011045
2004,S23,0.57,868.8011045
2004,S23,0.25,868.8011045
2004,S23,0.36,868.8011045
2004,S23,1.41,868.8011045
2004,S23,0.91,868.8011045
2004,S23,1.11,868.8011045
2004,S23,0.78,868.8011045
2004,S23,0.62,868.8011045
2005,S23,1.33,950.5136264
2005,S23,0.25,950.5136264
2005,S23,1.68,950.5136264
2005,S23,1.23,950.5136264
2005,S23,0.69,950.5136264
2005,S23,0.29,950.5136264
2005,S23,0.8,950.5136264
2005,S23,0.59,950.5136264
2005,S23,1.77,950.5136264
2005,S23,1.42,950.5136264
2005,S23,1.61,950.5136264
2005,S23,1.86,950.5136264
2005,S23,1.66,950.5136264
2005,S23,2.14,950.5136264
2005,S23,2.68,950.5136264
2005,S23,3.48,950.5136264
2005,S23,3.02,950.5136264
2005,S23,3.15,950.5136264
2005,S23,3.01,950.5136264
2005,S23,2.37,950.5136264
2005,S23,2.83,950.5136264
2005,S23,0.59,950.5136264
2005,S23,0.42,950.5136264
2005,S23,0.65,950.5136264
2005,S23,0.29,950.5136264
2005,S23,0.18,950.5136264
2005,S23,0.22,950.5136264
2005,S23,0.1,950.5136264
2005,S23,0.14,950.5136264
2005,S23,0.68,950.5136264
2005,S23,0.02,950.5136264
2005,S23,0.02,950.5136264
2005,S23,0.04,950.5136264
2005,S23,0.06,950.5136264
2006,S23,0.81,803.6379998
2006,S23,0.22,803.6379998
2006,S23,0.08,803.6379998
2006,S23,1.02,803.6379998
2006,S23,0.05,803.6379998
2006,S23,0.26,803.6379998
2006,S23,0.26,803.6379998
2006,S23,0.1,803.6379998
2006,S23,3.91,803.6379998
2006,S23,1.33,803.6379998
2006,S23,3.29,803.6379998
2006,S23,3.36,803.6379998
2006,S23,1.14,803.6379998
2006,S23,3.32,803.6379998
2006,S23,2.68,803.6379998
2006,S23,3.03,803.6379998
2006,S23,4.14,803.6379998
2006,S23,3.76,803.6379998
2006,S23,3.56,803.6379998
2006,S23,3.37,803.6379998
2006,S23,1.5,803.6379998
2006,S23,0.3,803.6379998
2006,S23,2.46,803.6379998
2006,S23,2.22,803.6379998
2006,S23,3.73,803.6379998
2006,S23,2.09,803.6379998
2006,S23,0.34,803.6379998
2006,S23,0.01,803.6379998
2006,S23,0.67,803.6379998
2006,S23,0.08,803.6379998
2006,S23,1.06,803.6379998
2006,S23,0.5,803.6379998
2006,S23,0.81,803.6379998
2004,S23,1.15,868.8011045
2004,S23,0.85,868.8011045
2004,S23,1.41,868.8011045
2004,S23,1.5,868.8011045
2004,S23,1.3,868.8011045
2004,S23,0.85,868.8011045
2004,S23,0.45,868.8011045
2004,S23,1.01,868.8011045
2004,S23,0.11,868.8011045
2004,S23,1.03,868.8011045
2004,S23,1.48,868.8011045
2004,S23,1.24,868.8011045
2004,S23,1.1,868.8011045
2004,S23,1.15,868.8011045
2004,S23,1.41,868.8011045
2004,S23,1.14,868.8011045
2004,S23,2.23,868.8011045
2004,S23,0.2,868.8011045
2004,S23,0.83,868.8011045
2004,S23,0.98,868.8011045
2004,S23,0.62,868.8011045
2004,S23,0.49,868.8011045
2004,S23,0.23,868.8011045
2004,S23,0.57,868.8011045
2004,S23,1.51,868.8011045
2004,S23,0.5,868.8011045
2004,S23,0.4,868.8011045
2004,S23,1.19,868.8011045
2004,S23,1.53,868.8011045
2004,S23,1.67,868.8011045
2004,S23,0.83,868.8011045
2004,S23,1.28,868.8011045
2004,S23,1.35,868.8011045
2004,S23,0.32,868.8011045
2004,S23,0.67,868.8011045
2004,S23,0.47,868.8011045
2004,S23,0.05,868.8011045
2004,S23,0.24,868.8011045
2004,S23,0.26,868.8011045
2004,S23,0.95,868.8011045
2004,S23,0.41,868.8011045
2004,S23,0.41,868.8011045
2004,S23,0.82,868.8011045
2004,S23,0.37,868.8011045
2004,S23,0.81,868.8011045
2004,S23,0.49,868.8011045
2005,S23,0.96,950.5136264
2005,S23,0.9,950.5136264
2005,S23,1.07,950.5136264
2005,S23,0.42,950.5136264
2005,S23,0.98,950.5136264
2005,S23,1.4,950.5136264
2005,S23,0.18,950.5136264
2005,S23,0.67,950.5136264
2005,S23,0.41,950.5136264
2005,S23,0.29,950.5136264
2005,S23,1.15,950.5136264
2005,S23,0.64,950.5136264
2005,S23,0.45,950.5136264
2005,S23,1.96,950.5136264
2005,S23,1.3,950.5136264
2005,S23,1.39,950.5136264
2005,S23,1.51,950.5136264
2005,S23,1.49,950.5136264
2005,S23,1.7,950.5136264
2005,S23,1.35,950.5136264
2005,S23,1.69,950.5136264
2005,S23,1.77,950.5136264
2005,S23,1.11,950.5136264
2005,S23,0.96,950.5136264
2005,S23,2.07,950.5136264
2005,S23,2.32,950.5136264
2005,S23,1.4,950.5136264
2005,S23,0.81,950.5136264
2005,S23,1.27,950.5136264
2005,S23,0.95,950.5136264
2005,S23,0.44,950.5136264
2005,S23,0.2,950.5136264
2005,S23,0.53,950.5136264
2005,S23,0.46,950.5136264
2005,S23,0.29,950.5136264
2005,S23,0.31,950.5136264
2005,S23,0.02,950.5136264
2005,S23,0.05,950.5136264
2006,S23,0.18,803.6379998
2006,S23,1.56,803.6379998
2006,S23,0.04,803.6379998
2006,S23,0.69,803.6379998
2006,S23,0.33,803.6379998
2006,S23,0.33,803.6379998
2006,S23,1.06,803.6379998
2006,S23,0.07,803.6379998
2006,S23,0.49,803.6379998
2006,S23,0.64,803.6379998
2006,S23,0.43,803.6379998
2006,S23,0.38,803.6379998
2006,S23,0.23,803.6379998
2006,S23,0.56,803.6379998
2006,S23,0.65,803.6379998
2006,S23,0.98,803.6379998
2006,S23,0.73,803.6379998
2006,S23,0.31,803.6379998
2006,S23,0.22,803.6379998
2006,S23,0.41,803.6379998
2006,S23,0.62,803.6379998
2006,S23,0.67,803.6379998
2006,S23,0.12,803.6379998
2006,S23,0.18,803.6379998
2006,S23,2.51,803.6379998
2006,S23,0.95,803.6379998
2006,S23,0.27,803.6379998
2006,S23,0.26,803.6379998
2006,S23,0.19,803.6379998
2004,S23,0.36,868.8011045
2004,S23,0.29,868.8011045
2004,S23,0.15,868.8011045
2004,S23,0.23,868.8011045
2004,S23,0.58,868.8011045
2004,S23,0.2,868.8011045
2004,S23,0.29,868.8011045
2004,S23,0.34,868.8011045
2004,S23,0.47,868.8011045
2004,S23,0.77,868.8011045
2004,S23,0.51,868.8011045
2004,S23,0.39,868.8011045
2004,S23,1.62,868.8011045
2004,S23,1.48,868.8011045
2004,S23,0.91,868.8011045
2004,S23,1.9,868.8011045
2004,S23,1.08,868.8011045
2004,S23,0.94,868.8011045
2004,S23,0.96,868.8011045
2004,S23,0.38,868.8011045
2004,S23,1.06,868.8011045
2004,S23,1.17,868.8011045
2004,S23,0.39,868.8011045
2004,S23,0.91,868.8011045
2004,S23,1.55,868.8011045
2004,S23,1.32,868.8011045
2004,S23,1.37,868.8011045
2004,S23,1.7,868.8011045
2004,S23,0.65,868.8011045
2004,S23,1.67,868.8011045
2004,S23,1.19,868.8011045
2004,S23,0.22,868.8011045
2004,S23,0.2,868.8011045
2004,S23,0.36,868.8011045
2004,S23,0.15,868.8011045
2004,S23,0.53,868.8011045
2004,S23,0.27,868.8011045
2005,S23,0.49,950.5136264
2005,S23,1.7,950.5136264
2005,S23,0.4,950.5136264
2005,S23,0.45,950.5136264
2005,S23,0.53,950.5136264
2005,S23,0.6,950.5136264
2005,S23,0.56,950.5136264
2005,S23,0.34,950.5136264
2005,S23,0.35,950.5136264
2005,S23,0.82,950.5136264
2005,S23,0.33,950.5136264
2005,S23,1.69,950.5136264
2005,S23,0.72,950.5136264
2005,S23,2.57,950.5136264
2005,S23,1.58,950.5136264
2005,S23,2.12,950.5136264
2005,S23,1.9,950.5136264
2005,S23,2.16,950.5136264
2005,S23,1.3,950.5136264
2005,S23,1.23,950.5136264
2005,S23,1.57,950.5136264
2005,S23,1.37,950.5136264
2005,S23,2.17,950.5136264
2005,S23,3.34,950.5136264
2005,S23,2.81,950.5136264
2005,S23,2.89,950.5136264
2005,S23,2.45,950.5136264
2005,S23,2.54,950.5136264
2005,S23,0.93,950.5136264
2005,S23,2.46,950.5136264
2005,S23,2.93,950.5136264
2005,S23,0.58,950.5136264
2005,S23,0.29,950.5136264
2005,S23,0.37,950.5136264
2005,S23,0.19,950.5136264
2005,S23,0.34,950.5136264
2005,S23,0.32,950.5136264
2005,S23,0.16,950.5136264
2006,S23,0.75,803.6379998
2006,S23,0.23,803.6379998
2006,S23,0.31,803.6379998
2006,S23,1.13,803.6379998
2006,S23,0.34,803.6379998
2006,S23,0.92,803.6379998
2006,S23,0.77,803.6379998
2006,S23,0.31,803.6379998
2006,S23,0.3,803.6379998
2006,S23,0.16,803.6379998
2006,S23,0.47,803.6379998
2006,S23,0.34,803.6379998
2006,S23,0.42,803.6379998
2006,S23,0.72,803.6379998
2006,S23,1.31,803.6379998
2006,S23,1.1,803.6379998
2006,S23,1.18,803.6379998
2006,S23,0.37,803.6379998
2006,S23,2.41,803.6379998
2006,S23,1.2,803.6379998
2006,S23,1.41,803.6379998
2006,S23,1.86,803.6379998
2006,S23,1.13,803.6379998
2006,S23,1.27,803.6379998
2006,S23,1.12,803.6379998
2006,S23,1.87,803.6379998
2006,S23,2.37,803.6379998
2006,S23,1.55,803.6379998
2006,S23,2.34,803.6379998
2006,S23,0.47,803.6379998
2006,S23,1.47,803.6379998
2006,S23,2.15,803.6379998
2006,S23,0.46,803.6379998
2006,S23,1.71,803.6379998
2006,S23,0.75,803.6379998
2006,S23,0.42,803.6379998
2006,S23,2.07,803.6379998
2006,S23,0.61,803.6379998
2006,S23,0.84,803.6379998
2006,S23,2.15,803.6379998
2006,S23,2.3,803.6379998
2006,S23,2.48,803.6379998
2006,S23,1.23,803.6379998
2006,S23,2.25,803.6379998
2006,S23,1.16,803.6379998
2006,S23,2.59,803.6379998
2006,S23,2.02,803.6379998
2006,S23,2.41,803.6379998
2006,S23,0.96,803.6379998
2006,S23,1.84,803.6379998
2006,S23,0.86,803.6379998
2006,S23,0.83,803.6379998
2006,S23,0.71,803.6379998
2006,S23,0.02,803.6379998
2006,S23,0.03,803.6379998
2006,S23,1.34,803.6379998
2006,S23,0.02,803.6379998
2006,S23,0.8,803.6379998
2006,S23,0.29,803.6379998
2006,S23,0.19,803.6379998
2004,S23,0.55,651.5219392
2004,S23,0.92,651.5219392
2004,S23,1.01,651.5219392
2004,S23,0.36,651.5219392
2004,S23,1.04,651.5219392
2004,S23,1.24,651.5219392
2004,S23,0.68,651.5219392
2004,S23,1.88,651.5219392
2004,S23,2.39,651.5219392
2004,S23,0.4,651.5219392
2004,S23,2.71,651.5219392
2004,S23,0.27,651.5219392
2004,S23,2.76,651.5219392
2004,S23,2.48,651.5219392
2004,S23,2.07,651.5219392
2004,S23,2.85,651.5219392
2004,S23,4.57,651.5219392
2004,S23,3.96,651.5219392
2004,S23,2.88,651.5219392
2004,S23,1.07,651.5219392
2004,S23,0.71,651.5219392
2004,S23,1.3,651.5219392
2004,S23,1,651.5219392
2004,S23,0.92,651.5219392
2004,S23,0.6,651.5219392
2004,S23,3.67,651.5219392
2004,S23,3.26,651.5219392
2004,S23,1.79,651.5219392
2004,S23,1.1,651.5219392
2004,S23,3.11,651.5219392
2004,S23,0.49,651.5219392
2004,S23,0.65,651.5219392
2004,S23,0.73,651.5219392
2004,S23,0.92,651.5219392
2004,S23,0.96,651.5219392
2004,S23,0.65,651.5219392
2004,S23,0.8,651.5219392
2004,S23,1.79,651.5219392
2004,S23,1.97,651.5219392
2004,S23,0.14,651.5219392
2004,S23,0.69,651.5219392
2004,S23,0.14,651.5219392
2004,S23,0.19,651.5219392
2004,S23,0.21,651.5219392
2004,S23,0.55,651.5219392
2004,S23,0.2,651.5219392
2004,S23,0.71,651.5219392
2004,S23,0.73,651.5219392
2004,S23,0.51,651.5219392
2005,S23,0.07,741.0367922
2005,S23,0.38,741.0367922
2005,S23,0.63,741.0367922
2005,S23,0.45,741.0367922
2005,S23,0.1,741.0367922
2005,S23,0.3,741.0367922
2005,S23,0.86,741.0367922
2005,S23,0.4,741.0367922
2005,S23,0.31,741.0367922
2005,S23,0.32,741.0367922
2005,S23,0.62,741.0367922
2005,S23,1.62,741.0367922
2005,S23,1.24,741.0367922
2005,S23,1.57,741.0367922
2005,S23,0.85,741.0367922
2005,S23,1.31,741.0367922
2005,S23,0.49,741.0367922
2005,S23,2.17,741.0367922
2005,S23,0.56,741.0367922
2005,S23,1.53,741.0367922
2005,S23,2.26,741.0367922
2005,S23,0.45,741.0367922
2005,S23,2.16,741.0367922
2005,S23,1.57,741.0367922
2005,S23,2.32,741.0367922
2005,S23,1.51,741.0367922
2005,S23,3.06,741.0367922
2005,S23,2.52,741.0367922
2005,S23,2.12,741.0367922
