Year,Study,Rs 0.5°C-MAT,Rs annual
2001,S12,1.77,945.6491816
2002,S12,1.9,1008.164565
1996,S12,1.22,838.5081232
1997,S12,0.91,721.5310676
1999,S12,0.77,491.0945623
2000,S12,1.42,765.8236181
2001,S12,1.2,945.6491816
2001,S12,1.56,945.6491816
2002,S12,1.7,1008.164565
2002,S12,1.83,1008.164565
2003,S12,1.77,852.3452771
1999,S12,0.68,491.0945623
1999,S12,0.91,491.0945623
2000,S12,1.47,765.8236181
2001,S12,1.36,945.6491816
2001,S12,1.97,945.6491816
2002,S12,2.35,1008.164565
2002,S12,3.02,1008.164565
1998,S13,2.18,1063.556218
1999,S13,0.98,518.0369453
1999,S13,0.91,518.0369453
1999,S13,1.35,518.0369453
1996,S13,2.14,1096.418366
1997,S13,1.38,941.1488967
1998,S13,1.6,1063.556218
1999,S13,0.94,518.0369453
2000,S13,1.62,1035.522238
2000,S13,1.6,1035.522238
2000,S13,1.85,1035.522238
1998,S13,2.23,1063.556218
1999,S13,0.41,518.0369453
2000,S13,1.93,1035.522238
2000,S13,1.63,1035.522238
2000,S13,1.42,1035.522238
1998,S13,1.51,1063.556218
1999,S13,0.48,518.0369453
1999,S13,0.76,518.0369453
2000,S13,1.89,1035.522238
2000,S13,2.04,1035.522238
2000,S13,1.96,1035.522238
1997,S13,1.37,941.1488967
1999,S13,1.15,518.0369453
1999,S13,1.09,518.0369453
2000,S13,1.09,1035.522238
2000,S13,2.09,1035.522238
2000,S13,1.92,1035.522238
1996,S13,1.52,1096.418366
1998,S13,1.56,1063.556218
1999,S13,0.98,518.0369453
1999,S13,1.26,518.0369453
1998,S17,3.39,854.3915953
1999,S17,0.55,846.7638503
1998,S17,1.49,854.3915953
1998,S17,1.69,854.3915953
1999,S17,0.82,846.7638503
1999,S17,2.32,846.7638503
1998,S17,0.77,854.3915953
2000,S17,1.5,887.6205359
1998,S17,1.04,854.3915953
1999,S17,1.77,846.7638503
2000,S17,2.15,887.6205359
1998,S17,2,854.3915953
1998,S17,1.04,854.3915953
1999,S17,2.09,846.7638503
1998,S17,1.72,854.3915953
1998,S17,1.39,854.3915953
2000,S17,2.19,887.6205359
1998,S17,1.81,854.3915953
1998,S17,1.66,854.3915953
1999,S17,3.81,846.7638503
2000,S17,1.34,887.6205359
1998,S17,1.46,854.3915953
1998,S17,1.1,854.3915953
1999,S17,2.04,846.7638503
1998,S17,0.91,854.3915953
2000,S17,1.53,887.6205359
1998,S17,1.5,854.3915953
1998,S17,1.32,854.3915953
1999,S17,2.4,846.7638503
1999,S17,2.15,846.7638503
1999,S17,1.74,846.7638503
1999,S17,0.95,846.7638503
1999,S17,0.94,846.7638503
1999,S17,1.56,846.7638503
1999,S21,2.04,872.8058641
1999,S21,0.8,872.8058641
1999,S21,1.42,872.8058641
2002,S21,2.62,1069.24654
1999,S21,1.85,872.8058641
1999,S21,1.22,872.8058641
2002,S21,3.52,1069.24654
1999,S21,1.23,872.8058641
1999,S21,2.52,872.8058641
1999,S21,2.51,872.8058641
2002,S21,1.52,1069.24654
2002,S21,2.63,1069.24654
1999,S21,2.87,872.8058641
1999,S21,2.38,872.8058641
1999,S21,2.26,872.8058641
1999,S21,1.46,872.8058641
1999,S21,2.17,872.8058641
1999,S21,1.34,872.8058641
2002,S21,2.4,1069.24654
1999,S21,2.33,872.8058641
1999,S21,2.6,872.8058641
1999,S21,1.79,872.8058641
2002,S21,2.59,1069.24654
1999,S21,2.24,872.8058641
1999,S21,1.76,872.8058641
2000,S21,0.9,700.5419521
2002,S21,2.05,1069.24654
1999,S21,0.93,872.8058641
1999,S21,2.18,872.8058641
1999,S21,2.42,872.8058641
2002,S21,2.06,1069.24654
1999,S21,2.48,872.8058641
2000,S21,0.78,700.5419521
2002,S21,2.87,1069.24654
1999,S21,1.57,872.8058641
1999,S21,1.88,872.8058641
1999,S21,2.48,872.8058641
2002,S21,3.51,1069.24654
2002,S21,0.69,1069.24654
1999,S21,2.05,872.8058641
1999,S21,2.03,872.8058641
1999,S21,1.45,872.8058641
2002,S21,1.89,1069.24654
1999,S21,2.04,872.8058641
1999,S21,2.65,872.8058641
1999,S21,3.09,872.8058641
1999,S21,1.91,872.8058641
1999,S21,1.44,872.8058641
1999,S21,3.35,872.8058641
2000,S21,0.72,700.5419521
2002,S21,3.72,1069.24654
2002,S21,1.79,1069.24654
1999,S21,2.48,872.8058641
1999,S21,2.96,872.8058641
1999,S21,1.05,872.8058641
1999,S21,1.57,872.8058641
2002,S21,2.25,1069.24654
1999,S21,0.79,872.8058641
1999,S21,2.07,872.8058641
1999,S21,1.73,872.8058641
2002,S21,2.02,1069.24654
1999,S21,1.32,872.8058641
1999,S21,2.1,872.8058641
1999,S21,1.47,872.8058641
2002,S21,1.59,1069.24654
1999,S21,1.8,872.8058641
1999,S21,2.27,872.8058641
1999,S21,1.24,872.8058641
2002,S21,3,1069.24654
1999,S21,1.44,872.8058641
1999,S21,1.96,872.8058641
1999,S21,1.7,872.8058641
1999,S21,1.96,872.8058641
1999,S21,1.55,872.8058641
2000,S21,1.29,700.5419521
2002,S21,1.42,1069.24654
1999,S21,1.53,872.8058641
1999,S21,1.51,872.8058641
2002,S21,0.48,1069.24654
2002,S21,1.84,1069.24654
1999,S21,1.26,872.8058641
2000,S21,0.63,700.5419521
1999,S21,1.53,872.8058641
1999,S21,2.19,872.8058641
1999,S21,1.24,872.8058641
1999,S21,1.52,872.8058641
2000,S21,0.95,700.5419521
2002,S21,1.05,1069.24654
2002,S21,0.87,1069.24654
2002,S21,1.75,1069.24654
1999,S21,1,872.8058641
1999,S21,1.56,872.8058641
1999,S21,1.57,872.8058641
2002,S21,0.89,1069.24654
1999,S21,2.62,872.8058641
1999,S21,2.56,872.8058641
1999,S21,1.82,872.8058641
2000,S21,1,700.5419521
2002,S21,1.18,1069.24654
2002,S21,2.2,1069.24654
2002,S21,1.46,1069.24654
1999,S21,0.39,872.8058641
1999,S21,1.3,872.8058641
